ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1767753753,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007179781734628738,0.0,0.0,52.727272727272776,1,0,1
1767753769,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007179781734628738,0.0,4.3478260869565215,52.94117647058809,1,0,1
1767753784,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.0071813285457744385,-0.028717065115939435,0.0,59.585492227979074,1,0,1
1767753799,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007184940364988436,-0.05744650294412185,3.3333333333333335,57.788944723617895,1,0,1
1767753815,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007184940364988436,-0.014367816091940955,6.666666666666667,57.788944723617895,1,0,1
1767753830,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007184940364988436,0.0,3.225806451612903,57.21393034825904,1,0,1
1767753846,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007182360123550476,0.035924701824962595,3.4482758620689653,66.29834254143628,1,0,1
1767753861,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007183908045990896,0.02874389192296065,3.7037037037037033,66.1111111111111,1,0,1
1767753877,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.0071802972643002115,0.04310035198620952,14.814814814814813,67.0270270270272,1,0,1
1767753892,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.0071792662790001625,0.02872531418311816,14.814814814814813,67.20430107526883,1,0,1
1767753907,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007181844297609096,-0.028719126938535355,12.5,68.47826086956509,1,0,1
1767753923,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007180812868030539,-0.007180297264320619,19.230769230769234,68.10810810810833,1,0,1
1767753938,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007183391997694782,-0.04308178358584208,3.7037037037037033,67.74193548387048,1,0,1
1767753953,SOLUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,0,0.007183908045990896,-0.0215470803706106,3.571428571428571,65.9685863874347,1,0,1
