[2026-05-04 16:43:43Z] SESSION_START symbol=CHIPUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:43:43Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:44:02Z] CHK MOM:0.05% RANGE:0.07% UP:60% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.060265 P3:0.06027 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:03Z] CHK MOM:0.05% RANGE:0.07% UP:60% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.060265 P3:0.06027 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:03Z] CHK MOM:0.05% RANGE:0.07% UP:50% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.06025999 P3:0.060265 P4:0.06027 STATE:IDLE
[2026-05-04 16:44:04Z] CHK MOM:0.05% RANGE:0.07% UP:50% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.06025999 P3:0.060265 P4:0.06027 STATE:IDLE
[2026-05-04 16:44:04Z] CHK MOM:0.05% RANGE:0.07% UP:50% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.06025999 P3:0.060265 P4:0.06027 STATE:IDLE
[2026-05-04 16:44:05Z] CHK MOM:0.05% RANGE:0.07% UP:50% SPREAD:0.03319502% BID:0.06025 ASK:0.06027 MID:0.06025999 P1:0.06025999 P2:0.06025999 P3:0.060265 P4:0.06027 STATE:IDLE
[2026-05-04 16:44:05Z] CHK MOM:-0.02% RANGE:0.04% UP:20% SPREAD:0.03320604% BID:0.06023 ASK:0.06025 MID:0.06024 P1:0.06024 P2:0.06025999 P3:0.06025999 P4:0.060265 STATE:IDLE
[2026-05-04 16:44:06Z] CHK MOM:-0.01% RANGE:0.04% UP:33.33% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.06024 P3:0.06025999 P4:0.06025999 STATE:IDLE
[2026-05-04 16:44:06Z] CHK MOM:-0.01% RANGE:0.04% UP:28.57% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.06024 P4:0.06025999 STATE:IDLE
[2026-05-04 16:44:07Z] CHK MOM:-0.01% RANGE:0.04% UP:28.57% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.06024 P4:0.06025999 STATE:IDLE
[2026-05-04 16:44:08Z] CHK MOM:-0.04% RANGE:0.04% UP:14.28% SPREAD:0.03320604% BID:0.06023 ASK:0.06025 MID:0.06024 P1:0.06024 P2:0.060245 P3:0.060245 P4:0.06024 STATE:IDLE
[2026-05-04 16:44:08Z] CHK MOM:-0.04% RANGE:0.04% UP:25% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.06024 P3:0.060245 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:09Z] CHK MOM:-0.04% RANGE:0.04% UP:22.22% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.06024 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:09Z] CHK MOM:-0.04% RANGE:0.04% UP:22.22% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.06024 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:10Z] CHK MOM:-0.04% RANGE:0.04% UP:25% SPREAD:0.01660302% BID:0.06023 ASK:0.06024 MID:0.060235 P1:0.060235 P2:0.060245 P3:0.060245 P4:0.06024 STATE:IDLE
[2026-05-04 16:44:10Z] CHK MOM:-0.02% RANGE:0.04% UP:37.5% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060235 P3:0.060245 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:11Z] CHK MOM:-0.02% RANGE:0.04% UP:33.33% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.060235 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:11Z] CHK MOM:-0.02% RANGE:0.04% UP:33.33% SPREAD:0.04980906% BID:0.06023 ASK:0.06026 MID:0.060245 P1:0.060245 P2:0.060245 P3:0.060235 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:12Z] CHK MOM:0% RANGE:0.01% UP:33.33% SPREAD:0.03320604% BID:0.06023 ASK:0.06025 MID:0.06024 P1:0.06024 P2:0.060245 P3:0.060245 P4:0.060235 STATE:IDLE
[2026-05-04 16:44:12Z] CHK MOM:0% RANGE:0.01% UP:30% SPREAD:0.01660302% BID:0.06023 ASK:0.06024 MID:0.060235 P1:0.060235 P2:0.06024 P3:0.060245 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:14Z] CHK MOM:0% RANGE:0.01% UP:30% SPREAD:0.01660302% BID:0.06023 ASK:0.06024 MID:0.060235 P1:0.060235 P2:0.06024 P3:0.060245 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:14Z] CHK MOM:0.02% RANGE:0.03% UP:37.5% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060235 P3:0.06024 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:15Z] CHK MOM:0.02% RANGE:0.03% UP:37.5% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060235 P3:0.06024 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:15Z] CHK MOM:0.02% RANGE:0.03% UP:37.5% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060235 P3:0.06024 P4:0.060245 STATE:IDLE
[2026-05-04 16:44:16Z] CHK MOM:0.02% RANGE:0.03% UP:37.5% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060235 P3:0.06024 P4:0.060245 STATE:IDLE
