ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-05-11 18:06:49Z,INJUSDC,BUY_FILLED,BUY,2.17,4.587,BURST ret=0.2623% vel=0.2589%/s eff=1.001 pressure=999.00 drop=0.0000%,,major,0,0.02180074122520894,0.26226641897061426,0.4049026045086541,30.76923076923077,77.27564232482175,1,,1,4.587,4.588,4.5875,4.587,4.5875,4.582000000000001,4.5755,4.572,-0.01089918256132122,
2026-05-11 18:09:16Z,INJUSDC,SELL_FILLED,SELL,2.17,4.58,BURST_REVERSAL age=145.64s drawdown=0.3047% trigger=0.2620% ext=0.1526% peak=4.59400000 bid=4.58000000,-0.03508239000000048,major,0,0.04366812227073755,-0.15257192676548736,0.15280506439643227,0.0,76.56432082666377,1,1,1,4.58,4.582,4.5809999999999995,4.587,4.5809999999999995,4.5825,4.5835,4.5835,,-0.1308044473512149
1778523818,INJUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.0873362445414751,0.33942844629366675,0.4163927240850151,36.36363636363637,55.862741427281364,0,1,1,4.58,4.584,4.582,,4.582,4.564,4.5634999999999994,4.5634999999999994,,
