ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-05-11 15:59:17Z,PENDLEUSDC,BUY_FILLED,BUY,5.0,1.9649999999999999,BURST ret=0.4604% vel=0.3267%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.10183299389002047,0.4858092559447631,0.4858092559447631,20.0,70.20317657634945,1,,1,1.964,1.966,1.9649999999999999,1.9649999999999999,1.9649999999999999,1.9649999999999999,1.9555,1.9555,0.0,
2026-05-11 16:06:31Z,PENDLEUSDC,SELL_FILLED,SELL,5.0,1.97,TIME,0.005325000000000357,major,0,0.10157440325038099,0.33104150751210454,0.33104150751210454,54.54545454545454,61.335940483439146,1,1,1,1.969,1.971,1.9700000000000002,1.9649999999999999,1.9700000000000002,1.9665,1.9655,1.9655,,0.2544529262086686
2026-05-11 18:29:39Z,PENDLEUSDC,BUY_FILLED,BUY,4.9,1.9949999999999997,BURST ret=0.2010% vel=0.1938%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.0501504513540678,0.27652086475616194,0.27652086475616194,50.0,56.30818735186846,1,,1,1.994,1.995,1.9945,1.9949999999999997,1.9945,1.991,1.991,1.9905,0.025068939583841713,
2026-05-11 18:30:55Z,PENDLEUSDC,SELL_FILLED,SELL,4.9,1.9909999999999999,PSELL FAIL age=74.5s latest=1.99100000 guard=1.99140900 high=1.99500000 peak=0.0000% P1=1.9915 P2=1.9925000000000002 P3=1.9925000000000002 P4=1.9925000000000002 entry=1.9949999999999997,-0.03913139999999873,major,0,0.05022601707684027,-0.1003260596940056,0.10042681395932723,0.0,60.88342857882053,1,1,1,1.991,1.992,1.9915,1.9949999999999997,1.9915,1.9925000000000002,1.9925000000000002,1.9925000000000002,,-0.17543859649120877
