[2026-05-04 16:08:23Z] SESSION_START symbol=ORDIUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:08:23Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:08:39Z] CHK MOM:0% RANGE:0.08% UP:37.5% SPREAD:0.09534706% BID:5.244 ASK:5.249 MID:5.24649999 P1:5.24649999 P2:5.2505 P3:5.2505 P4:5.2475 STATE:IDLE
[2026-05-04 16:08:39Z] CHK MOM:0% RANGE:0.09% UP:33.33% SPREAD:0.13353681% BID:5.242 ASK:5.249 MID:5.2455 P1:5.2455 P2:5.24649999 P3:5.2505 P4:5.2505 STATE:IDLE
[2026-05-04 16:08:40Z] CHK MOM:-0.05% RANGE:0.14% UP:28.57% SPREAD:0.03815337% BID:5.242 ASK:5.244 MID:5.243 P1:5.243 P2:5.2455 P3:5.24649999 P4:5.2505 STATE:IDLE
[2026-05-04 16:08:40Z] CHK MOM:-0.06% RANGE:0.15% UP:25% SPREAD:0.01907668% BID:5.242 ASK:5.243 MID:5.2425 P1:5.2425 P2:5.243 P3:5.2455 P4:5.24649999 STATE:IDLE
[2026-05-04 16:08:41Z] CHK MOM:-0.06% RANGE:0.15% UP:25% SPREAD:0.01907668% BID:5.242 ASK:5.243 MID:5.2425 P1:5.2425 P2:5.243 P3:5.2455 P4:5.24649999 STATE:IDLE
[2026-05-04 16:08:42Z] CHK MOM:-0.18% RANGE:0.23% UP:14.28% SPREAD:0.07639419% BID:5.236 ASK:5.24 MID:5.23799999 P1:5.23799999 P2:5.2425 P3:5.243 P4:5.2455 STATE:IDLE
[2026-05-04 16:08:42Z] CHK MOM:-0.09% RANGE:0.23% UP:25% SPREAD:0.09541984% BID:5.24 ASK:5.245 MID:5.2425 P1:5.2425 P2:5.23799999 P3:5.2425 P4:5.243 STATE:IDLE
[2026-05-04 16:08:43Z] CHK MOM:-0.14% RANGE:0.23% UP:25% SPREAD:0.07632131% BID:5.241 ASK:5.245 MID:5.243 P1:5.243 P2:5.2425 P3:5.23799999 P4:5.2425 STATE:IDLE
[2026-05-04 16:08:43Z] CHK MOM:-0.14% RANGE:0.23% UP:25% SPREAD:0.07632131% BID:5.241 ASK:5.245 MID:5.243 P1:5.243 P2:5.2425 P3:5.23799999 P4:5.2425 STATE:IDLE
[2026-05-04 16:08:44Z] CHK MOM:-0.14% RANGE:0.23% UP:25% SPREAD:0.07632131% BID:5.241 ASK:5.245 MID:5.243 P1:5.243 P2:5.2425 P3:5.23799999 P4:5.2425 STATE:IDLE
[2026-05-04 16:08:44Z] CHK MOM:-0.04% RANGE:0.16% UP:42.85% SPREAD:0.11448196% BID:5.241 ASK:5.247 MID:5.244 P1:5.244 P2:5.243 P3:5.2425 P4:5.23799999 STATE:IDLE
[2026-05-04 16:08:45Z] CHK MOM:-0.05% RANGE:0.16% UP:37.5% SPREAD:0.13358778% BID:5.24 ASK:5.247 MID:5.2435 P1:5.2435 P2:5.244 P3:5.243 P4:5.2425 STATE:IDLE
