ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-05-04 18:10:40Z,TONUSDC,BUY_FILLED,BUY,6.85,1.451,BURST ret=0.2766% vel=0.1086%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.06896551724138704,0.27652955409609425,0.27652955409609425,14.285714285714285,64.89473307148575,1,,1,1.45,1.451,1.4505,1.451,1.4505,1.4465,1.4465,1.4465,0.03447087211307598,
2026-05-04 18:11:27Z,TONUSDC,SELL_FILLED,SELL,6.84,1.448,PSELL ROLL5 age=46.8s latest=1.44800000 ret5m=0.9053% entry5m=1.0453% delta5m=-0.1400% P1=1.4485000000000001 P2=1.4485000000000001 P3=1.4485000000000001 P4=1.4485000000000001 entry=1.451,-0.020520000000000777,major,0,0.06906077348067072,0.0,0.06903693476008904,11.11111111111111,62.52847074191145,1,1,1,1.448,1.449,1.4485000000000001,1.451,1.4485000000000001,1.4485000000000001,1.4485000000000001,1.4485000000000001,,-0.1722949689869019
2026-05-04 20:28:46Z,TONUSDC,BUY_FILLED,BUY,6.66,1.46,BURST ret=0.2747% vel=0.0741%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.06849315068493918,0.2746309646412635,0.2746309646412635,20.0,72.08566561314848,1,,1,1.46,1.461,1.4605000000000001,1.46,1.4605000000000001,1.4565000000000001,1.4565000000000001,1.4565000000000001,-0.03423485107840924,
2026-05-04 20:32:31Z,TONUSDC,SELL_FILLED,SELL,6.65,1.462,PROTECT,0.013300000000000013,major,0,0.06839945280438522,-0.1365653806760139,0.13675213675215206,0.0,72.8381924016985,1,1,1,1.462,1.463,1.4625,1.46,1.4625,1.4635,1.4635,1.4645000000000001,,0.17123287671232512
2026-05-04 20:58:32Z,TONUSDC,BUY_FILLED,BUY,6.52,1.489,BURST ret=0.2694% vel=0.0818%/s eff=1.001 pressure=999.00 drop=0.0000%,,major,0,0.067159167226319,0.33681374200066644,0.33681374200066644,50.0,70.6299587129023,1,,1,1.489,1.49,1.4895,1.489,1.4895,1.4865,1.4855,1.4855,-0.033568311513927154,
2026-05-04 20:59:24Z,TONUSDC,SELL_FILLED,SELL,6.52,1.486,PSELL ROLL5 age=51.2s latest=1.48600000 ret5m=0.3369% entry5m=0.8119% delta5m=-0.4750% P1=1.4865 P2=1.4875 P3=1.4885000000000002 P4=1.4885000000000002 entry=1.489,-0.01956000000000074,major,0,0.0672947510094288,-0.13436345314076073,0.20181634712412472,12.5,69.97309863842337,1,1,1,1.486,1.487,1.4865,1.489,1.4865,1.4875,1.4885000000000002,1.4885000000000002,,-0.1678979180658273
2026-05-04 21:00:01Z,TONUSDC,BUY_FILLED,BUY,6.48,1.4949999999999999,BURST ret=0.2685% vel=0.1179%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.06693440428380937,0.3020134228187735,0.3020134228187735,42.857142857142854,75.94563272262937,1,,1,1.494,1.495,1.4945,1.4949999999999999,1.4945,1.491,1.491,1.4905,0.033456005352957174,
2026-05-04 21:01:00Z,TONUSDC,SELL_FILLED,SELL,6.47,1.492,PSELL FAIL age=56.7s latest=1.49200000 guard=1.49230900 high=1.49600000 peak=0.0669% P1=1.4925000000000002 P2=1.4925000000000002 P3=1.4925000000000002 P4=1.4925000000000002 entry=1.4949999999999999,-0.0194099999999993,major,0,0.06702412868633459,-0.0669568128557007,0.06700167504186866,0.0,67.84303259504134,1,1,1,1.492,1.493,1.4925000000000002,1.4949999999999999,1.4925000000000002,1.4925000000000002,1.4925000000000002,1.4925000000000002,,-0.16722408026754013
2026-05-04 21:02:46Z,TONUSDC,BUY_FILLED,BUY,6.39,1.508,BURST ret=0.5333% vel=0.3332%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.06631299734747281,0.5331556147950688,0.5331556147950688,20.0,75.56266078637293,1,,1,1.508,1.509,1.5085,1.508,1.5085,1.5005,1.5005,1.5005,-0.033145508783556175,
2026-05-04 21:04:55Z,TONUSDC,SELL_FILLED,SELL,6.38,1.5110000000000001,PROTECT,0.019140000000000726,major,0,0.06618133686301204,-0.09914077990747236,0.13231888852135124,20.0,80.04040336484525,1,1,1,1.511,1.512,1.5114999999999998,1.508,1.5114999999999998,1.5125,1.5125,1.5125,,0.23209549071616953
