ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1767723826,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004457122481735204,0.0,0.0,55.70291777188308,1,0,1
1767723841,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004456327985729364,0.017828489926921022,38.095238095238095,56.11702127659575,1,0,0
1767723857,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004456129406007354,0.008913053166361155,32.142857142857146,56.91906005221951,1,0,1
1767723872,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.01783564453560244,-0.053478318998166935,22.22222222222222,54.663212435233305,1,0,1
1767723887,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004458116000167934,-0.004457917261045246,37.03703703703704,55.38057742782127,1,0,1
1767723902,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044579172610650425,-0.004457718539660814,26.923076923076923,50.14245014244981,1,0,1
1767723918,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004456923831161338,-0.008913053166361155,40.909090909090914,51.01449275362276,1,0,1
1767723934,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004456526583190473,-0.02673201158386874,37.5,51.46198830409342,1,0,1
1767723949,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004457321149978469,-0.01782610633272231,26.923076923076923,50.285714285714256,1,0,1
1767723964,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004459507670362604,-0.031206812001254736,18.51851851851852,46.44970414201155,1,0,1
1767723979,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004459905450013872,-0.05794517494985865,14.814814814814813,46.041055718475135,1,0,1
1767723995,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004460104366431779,0.004460303300633855,18.51851851851852,46.041055718475135,1,0,1
1767724010,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004460104366431779,-0.01783723522853761,14.285714285714285,45.77259475218667,1,0,1
1767724025,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.008922198429692094,0.0,18.51851851851852,50.320512820512796,1,0,1
1767724041,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004455136772688538,0.10257325068010385,30.76923076923077,54.113924050633265,1,0,1
1767724056,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004453747828807333,0.07131078129873974,33.33333333333333,55.521472392638266,1,0,1
1767724072,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004449982200080591,0.13814001158593114,55.00000000000001,57.97101449275392,1,0,1
1767724088,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.008900360464597835,0.06234136349469163,52.63157894736842,58.13953488372084,1,0,1
1767724104,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.00444049733571097,0.2626775299407672,70.0,64.24870466321227,1,0,1
1767724119,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.008879417510210352,0.02220347262312567,47.368421052631575,64.8854961832061,1,0,1
1767724135,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004437935472427597,0.013315579227685082,45.0,65.4135338345864,1,0,1
1767724150,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004438723423152871,-0.01775174188967097,39.130434782608695,69.2307692307696,1,0,1
1767724166,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004442470013336785,-0.09320491766898899,21.428571428571427,64.98740554156225,1,0,1
1767724181,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004443457009543077,-0.05329306746013535,17.857142857142858,64.50000000000021,1,0,1
1767724197,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044438519308433065,0.0,25.0,64.17910447761219,1,0,1
1767724212,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004445432318302336,-0.022222222222229644,15.384615384615385,58.855585831062676,1,0,1
1767724227,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004448200702825098,-0.08000355571357848,18.51851851851852,56.84210526315843,1,0,1
1767724242,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044474093840431855,-0.02223210315696607,22.22222222222222,57.90884718498668,1,0,1
1767724258,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004449190247384368,-0.04891715213234762,18.51851851851852,55.95854922279789,1,0,1
1767724273,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.00445235975067725,-0.07118704395799182,21.428571428571427,54.82233502538079,1,0,1
1767724289,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004451368795894367,-0.008901945074997905,23.076923076923077,55.3846153846154,1,0,1
1767724304,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004452756256112162,-0.0044525579945575025,23.076923076923077,54.545454545454035,1,0,1
1767724320,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.00445235975067725,-0.022256843979531135,10.714285714285714,54.82233502538079,1,0,1
1767724335,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.008902341315765066,0.02226080762208819,21.428571428571427,55.949367088607936,1,0,1
1767724350,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004453549478924332,-0.017811025024488197,32.0,54.40806045340092,1,0,1
1767724366,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004453152832194823,-0.04006231916314814,25.925925925925924,54.82233502538079,1,0,1
1767724381,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.0044497841854566345,0.102449888641424,37.5,64.95726495726512,1,0,1
1767724397,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044517651248616365,-0.026703458097820727,20.0,64.34782608695674,1,0,1
1767724412,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.008907495657594888,-0.05786521855248282,21.428571428571427,62.01117318435759,1,0,1
1767724428,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.00445216152440973,0.03562998263039933,42.30769230769231,63.24786324786357,1,0,1
1767724443,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.0044493882091108765,0.0445136879590425,40.0,62.57309941520467,1,0,1
1767724458,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004448794376733296,0.08459860189679029,42.857142857142854,62.79069767441858,1,0,1
1767724474,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004451963315831673,-0.057842046718579704,28.000000000000004,61.561561561561405,1,0,1
1767724489,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004452557994577276,-0.0667437928272696,21.428571428571427,60.303030303029864,1,0,1
1767724505,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004449982200080591,0.031159581571319865,25.925925925925924,56.565656565657044,1,0,1
1767724520,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004447013830222397,0.07120288371678268,39.130434782608695,58.16993464052338,1,0,1
1767724535,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004444641984097562,0.07561604839425276,52.63157894736842,60.371517027864286,1,0,1
1767724551,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044474093840431855,-0.05334044539271316,20.833333333333336,59.10543130990425,1,0,1
1767724567,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004445629945752954,0.01778568252556496,22.22222222222222,69.03914590747303,1,0,1
1767724582,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044438519308433065,0.01777856793637051,31.818181818181817,69.25795053003503,1,0,1
1767724597,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004448794376733296,-0.0933374816658514,23.076923076923077,66.05166051660551,1,0,1
1767724613,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.00445097253748907,-0.11559151736094402,21.428571428571427,63.25088339222577,1,0,1
1767724629,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004448992303232946,0.048962877236717745,45.83333333333333,58.72340425531871,1,0,1
1767724644,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004448992303232946,-0.035579275072266485,17.391304347826086,58.36909871244595,1,0,1
1767724660,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004450576349626905,-0.03114433173161154,14.814814814814813,56.96202531645531,1,0,1
1767724675,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004453946196319568,-0.08899964400141419,11.538461538461538,53.35968379446646,1,0,1
1767724691,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.00445097253748907,0.07572383073496815,34.61538461538461,54.615384615384144,1,0,1
1767724706,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004449190247384368,0.0,31.57894736842105,56.29629629629567,1,0,1
1767724722,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004449190247384368,0.013349352556389665,29.166666666666668,56.77655677655647,1,0,1
1767724738,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004449586188493861,-0.017795177506893675,19.230769230769234,56.13382899628228,1,0,1
1767724753,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004450180232289036,-0.013348758565442063,14.285714285714285,56.50557620817826,1,0,1
1767724768,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004451368795894367,-0.022251891410757584,25.0,54.31654676259031,1,0,1
1767724784,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004457718539641017,-0.124660522683769,23.076923076923077,48.242811501597274,1,0,1
1767724799,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.0044610992148361416,-0.08914244963450614,37.03703703703704,45.48192771084319,1,0,1
1767724815,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004456129406007354,0.12046042651913647,52.17391304347826,51.714285714285516,1,0,1
1767724831,XRPUSDC,DECIDE_HOLD,,,,HOLD_BAL,,aggressive,1,0.004452557994577276,0.08913053166361155,42.10526315789473,53.443526170798805,1,0,1
1767724846,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004453747828807333,0.008908289163065252,28.57142857142857,53.31491712707145,1,0,1
1767724861,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.008914244963450614,-0.05790903826451418,17.857142857142858,44.1935483870969,1,0,1
1767724877,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004457122481735204,-0.02228064702999719,25.925925925925924,44.1935483870969,1,0,1
1767724892,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004455930843942917,0.026742734890371638,31.818181818181817,45.659163987138434,1,0,1
1767724907,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004457321149978469,-0.062363579669466165,0.0,44.1935483870969,1,0,1
1767724923,XRPUSDC,DECIDE_HOLD,,,,HOLD_MOM,,aggressive,1,0.004455930843942917,0.026742734890371638,11.11111111111111,32.2957198443581,1,0,1
