ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1772236820,ENSOUSDC,DECIDE_HOLD,,,,HOLD_RANGE_CHOP,,major,0,0.2050580997949345,0.0,0.0,0.0,26.760563380281653,0,1,1
1772236834,ENSOUSDC,DECIDE_HOLD,,,,HOLD_RANGE_SPREAD,,major,0,0.20491803278689302,0.06835269993163977,0.13679890560875527,22.22222222222222,26.760563380281653,0,1,1
1772236845,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.13670539986329472,-0.06830601092895422,0.27378507871321034,25.0,27.53623188405794,0,1,1
1772236856,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.13726835964310238,-0.47814207650272506,0.48043925875085075,7.142857142857142,26.760563380281653,0,1,1
1772236866,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.20519835841314046,-0.06835269993165495,0.4118050789293072,20.0,27.142857142857068,0,1,1
1772236877,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.2042205582028517,0.7544581618655776,0.7544581618655776,60.0,37.3333333333332,0,1,1
1772236888,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.06770480704129248,0.956937799043063,0.956937799043063,78.57142857142857,39.74358974358971,0,1,1
1772236898,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.1346801346801348,1.0204081632653146,1.0204081632653146,57.14285714285714,46.59090909090908,0,1,1
1772236909,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.20242914979757853,0.20283975659228476,0.6085192697768692,42.857142857142854,46.59090909090908,0,1,1
1772236920,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.20215633423181356,-0.201748486886356,0.4048582995951421,28.57142857142857,46.59090909090908,0,1,1
1772236931,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.13395847287340934,0.7422402159244346,0.7422402159244346,57.14285714285714,57.954545454545475,0,1,1
1772236941,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.13333333333333347,0.8742434431741695,0.8742434431741695,61.53846153846154,58.4269662921348,0,1,1
1772236952,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.13377926421404693,0.0,0.46885465505692536,33.33333333333333,59.340659340659315,0,1,1
1772237021,ENSOUSDC,DECIDE_HOLD,,,,HOLD_RANGE_CHOP,,major,0,0.19880715705766164,0.0,0.0,0.0,63.72549019607838,1,1,1
1772237032,ENSOUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.2643754130865832,0.2650762094102057,0.39761431411530856,37.5,65.09433962264146,1,1,1
1772237042,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.19920318725098882,-0.26490066225165587,0.5976095617529812,21.428571428571427,61.111111111111036,1,1,1
1772237052,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MIN_NOTIONAL,,major,0,0.19973368841543887,-0.7270323859880965,0.9339559706470841,21.428571428571427,57.39130434782606,1,1,1
1772237063,ENSOUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.26666666666666694,-0.39840637450199234,0.46697798532354207,18.75,56.41025641025638,1,1,1
1772237074,ENSOUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.2668445630420134,-0.33244680851063124,0.3335557038025279,12.5,56.41025641025638,1,1,1
1772237085,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.13486176668914374,-1.133333333333327,1.281186783546858,13.333333333333334,49.6240601503759,1,1,1
1772237095,ENSOUSDC,DECIDE_HOLD,,,,HOLD_MOM,,major,0,0.2020202020201947,-0.9999999999999934,1.2829169480080962,21.428571428571427,50.76923076923077,1,1,1
