ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1772237102,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6495849873691919,0.0,0.0,0.0,84.09961685823752,1,1,1
1772237112,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.7510729613733972,0.9022013713460854,1.1930585683297195,77.77777777777779,85.11029411764707,1,1,1
1772237123,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6444683136412446,0.7575757575757517,1.5602322206095784,50.0,85.40540540540543,1,1,1
1772237134,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,1.0316613304873785,0.9335727109515253,2.213352685050796,44.44444444444444,85.61278863232684,1,1,1
1772237144,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,1.106352605281946,0.35816618911174564,1.3252148997134627,38.88888888888889,85.50983899821111,1,1,1
1772237154,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.8363636363636401,-2.170046246887227,2.9850746268656634,27.77777777777778,81.75046554934825,1,1,1
1772237165,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.9656652360515124,-0.6043370067543549,2.402621041135775,33.33333333333333,85.37906137184117,1,1,1
1772237176,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5669737774627939,2.6555110949436087,2.6555110949436087,50.0,85.7644991212654,1,1,1
1772237187,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6414825374198132,0.35765379113019624,1.3252148997134627,52.94117647058824,85.73943661971833,1,1,1
1772237197,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.7616974972796459,-2.545068928950154,2.611534276387372,43.75,82.66423357664235,1,1,1
1772237208,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.8002910149145069,-1.1151079136690567,2.050530941047228,35.294117647058826,83.42541436464086,1,1,1
1772237219,SIGNUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.7616974972796459,0.6939371804236639,1.1743119266055078,44.44444444444444,83.73382624768948,1,1,1
