ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok
1772256010,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.8325429444620105,-0.1578282828282888,0.31665611146295153,14.285714285714285,75.59808612440189,1,1,1
1772256021,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5570152390961609,0.28456998313659737,0.6860882415030557,37.5,75.59808612440189,1,1,1
1772256031,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5973590442255216,0.4421052631579045,0.5368421052631572,61.111111111111114,77.355623100304,1,1,1
1772256042,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5238344683080152,0.14688909873046563,0.3994533795858209,58.82352941176471,77.11213517665138,1,1,1
1772256052,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6282722513089011,0.0838398658562054,0.3994533795858209,68.75,72.92307692307693,1,1,1
1772256063,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6258475018253891,0.37692388231599283,0.6297890206780734,61.111111111111114,71.1001642036125,1,1,0
1772256073,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6355490727234835,0.5026178010471233,0.7121164519845039,72.22222222222221,75.55555555555557,1,1,1
1772256084,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6558400999375362,0.17728647408489256,0.4806185351582957,55.55555555555556,75.55555555555557,1,1,1
1772256094,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.7917491405354778,0.03126302626093862,0.4806185351582957,44.44444444444444,75.55555555555557,1,1,1
2026-02-28 05:21:42,BARDUSDC,BUY_FILLED,BUY,9.6,0.9677000000000001,MOM,,major,0,0.2278612118073516,0.6777893639207573,0.6777893639207573,52.94117647058824,75.55555555555557,1,1,1
2026-02-28 05:21:56,BARDUSDC,SELL_FILLED,SELL,9.6,0.9588000000000001,STOP,-0.08544000000000018,major,0,,,,,,,,
1772256146,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.582605076987093,0.3130870381966189,0.36526821122938297,41.02564102564102,89.23327895595439,1,1,0
1772256156,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.42610683849511455,0.06239600665557871,0.27069234773554773,35.714285714285715,84.02457757296483,1,1,1
1772256168,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.4888703973372089,-0.17651334233204485,0.17682546286664486,35.294117647058826,84.02457757296483,1,1,1
1772256178,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5302006445576457,0.031198003327783583,0.15602246723527624,17.647058823529413,84.02457757296483,1,1,1
2026-02-28 05:23:05,BARDUSDC,BUY_FILLED,BUY,9.5,0.9686,MOM,,major,0,0.2795031055900658,0.4784688995215246,0.4784688995215246,33.33333333333333,82.75290215588741,1,1,0
2026-02-28 05:24:50,BARDUSDC,SELL_FILLED,SELL,9.5,0.9744999999999999,TRAIL,0.0560499999999991,major,0,,,,,,,,
1772256300,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.5408163265306094,0.2660118682218064,0.6259620318111846,29.629629629629626,81.66666666666677,1,1,0
1772256311,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.510829587249694,0.43094602914015817,0.8208495793145913,37.03703703703704,81.66666666666677,1,1,0
1772256321,BARDUSDC,DECIDE_HOLD,,,,HOLD_SPREAD,,major,0,0.6016724454415681,-0.010196798205362392,0.3984877899254127,41.17647058823529,81.66666666666677,1,1,0
