[2026-05-01T07:18:16+02:00] SESSION_START symbol=TRBUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T07:18:16+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T07:18:18+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.10498687% BID:19.05 ASK:19.07 MID:19.06 P1:19.06 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:32+02:00] CHK MOM:-0.07% RANGE:0.13% UP:27.77% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:32+02:00] CHK MOM:-0.07% RANGE:0.13% UP:26.31% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:33+02:00] CHK MOM:-0.07% RANGE:0.13% UP:25% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:33+02:00] CHK MOM:-0.07% RANGE:0.13% UP:23.8% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:34+02:00] CHK MOM:0% RANGE:0.05% UP:25% SPREAD:0.10509721% BID:19.03 ASK:19.05 MID:19.04 P1:19.04 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:35+02:00] CHK MOM:0.02% RANGE:0.05% UP:28.57% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:35+02:00] CHK MOM:0.02% RANGE:0.05% UP:28.57% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:36+02:00] CHK MOM:0.1% RANGE:0.1% UP:33.33% SPREAD:0.15756302% BID:19.04 ASK:19.07 MID:19.055 P1:19.055 P2:19.045 P3:19.04 P4:19.045 STATE:IDLE
[2026-05-01T07:18:36+02:00] CHK MOM:0.07% RANGE:0.1% UP:31.81% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.055 P3:19.045 P4:19.04 STATE:IDLE
[2026-05-01T07:18:37+02:00] CHK MOM:0.07% RANGE:0.1% UP:31.81% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.055 P3:19.045 P4:19.04 STATE:IDLE
[2026-05-01T07:18:37+02:00] CHK MOM:0.07% RANGE:0.1% UP:31.81% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.055 P3:19.045 P4:19.04 STATE:IDLE
