ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
1778531254,PENDLEUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.04655493482308612,0.25664955669624384,0.2800466744457516,37.5,47.36433019119528,0,1,1,2.148,2.149,2.1485000000000003,,2.1485000000000003,2.145,2.144,2.144,,
1778531281,PENDLEUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.046425255338899254,0.27926460321151214,0.27926460321151214,60.0,52.729632185383956,0,1,1,2.154,2.155,2.1544999999999996,,2.1544999999999996,2.153,2.151,2.1494999999999997,,
1778531331,PENDLEUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.046490004649015995,0.18626309662398155,0.3264164140825422,37.5,50.42912541961989,0,1,1,2.151,2.152,2.1515,,2.1515,2.151,2.1479999999999997,2.1479999999999997,,
1778531445,PENDLEUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.04653327128896649,0.32672112018668253,0.32672112018668253,50.0,51.283404708494864,0,1,1,2.149,2.15,2.1494999999999997,,2.1494999999999997,2.1485,2.1455,2.1455,,
1778538934,PENDLEUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.04662004662004149,0.5153431717029806,0.5153431717029806,75.0,57.74245909185522,1,0,1,2.145,2.146,2.1455,,2.1455,2.1395,2.1390000000000002,2.1390000000000002,,
2026-05-11 22:37:38Z,PENDLEUSDC,BUY_FILLED,BUY,4.5,2.1519999999999997,BURST ret=0.1863% vel=0.1089%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.046490004649015995,0.09304489416144332,0.16294227188083246,26.666666666666668,63.29258805143058,1,,1,2.151,2.152,2.1515,2.1519999999999997,2.1515,2.151,2.1479999999999997,2.1479999999999997,0.02323960027886232,
2026-05-11 22:42:40Z,PENDLEUSDC,SELL_FILLED,SELL,4.5,2.145,BURST_REVERSAL age=301.33s drawdown=0.6484% trigger=0.5594% ext=0.3253% peak=2.15900000 bid=2.14500000,-0.050836,major,0,0.09324009324008298,-0.16282856478249996,0.16309412861136238,0.0,57.489593155752736,1,1,1,2.145,2.147,2.146,2.1519999999999997,2.146,2.1485000000000003,2.1494999999999997,2.1494999999999997,,-0.27881040892192305
