ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
1778536368,ONDOUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,major,0,0.04621072088724075,0.15037593984962033,0.16196205460434482,37.5,67.49995331295017,1,0,1,0.4328,0.433,0.4329,,0.4329,0.43274999999999997,0.43220000000000003,0.43235,,
2026-05-11 22:01:51Z,ONDOUSDC,BUY_FILLED,BUY,22.6,0.434,BURST ret=0.1385% vel=0.0930%/s eff=1.000 pressure=999.00 drop=0.0000%,,major,0,0.023046784973493658,0.04610951008646305,0.10380622837370379,50.0,70.1578236232128,1,,1,0.4339,0.434,0.43395,0.434,0.43395,0.43365,0.4335,0.4335,0.011522064754002649,
2026-05-11 22:05:24Z,ONDOUSDC,SELL_FILLED,SELL,22.6,0.4334,BURST_REVERSAL age=212.27s drawdown=0.3678% trigger=0.2769% ext=0.2304% peak=0.43500000 bid=0.43340000,-0.033163,major,0,0.04614674665435578,-0.1267135122681707,0.1268742791234129,0.0,60.302583256619535,1,1,1,0.4334,0.4336,0.4335,0.434,0.4335,0.43374999999999997,0.43384999999999996,0.43395,,-0.11520737327188951
