[2026-05-11 22:57:23Z] SESSION_START symbol=BNBUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-11 22:57:23Z] TOXIC_MEMORY_LOADED count=5 symbols=GUNUSDC,JTOUSDC,ORDIUSDC,SAHARAUSDC,TONUSDC
[2026-05-11 22:57:39Z] CHK MOM:0.03% RANGE:0.03% UP:14.28% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:40Z] CHK MOM:0.03% RANGE:0.03% UP:14.28% SPREAD:0.00149304% BID:669.77 ASK:669.78 MID:669.775 P1:669.775 P2:669.775 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:40Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.775 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:41Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.775 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:42Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:42Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:43Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:43Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:44Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:44Z] CHK MOM:0.02% RANGE:0.03% UP:14.28% SPREAD:0.00149322% BID:669.69 ASK:669.7 MID:669.695 P1:669.695 P2:669.695 P3:669.775 P4:669.775 STATE:IDLE
[2026-05-11 22:57:45Z] CHK MOM:0% RANGE:0.01% UP:16.66% SPREAD:0.00149316% BID:669.72 ASK:669.73 MID:669.725 P1:669.725 P2:669.695 P3:669.695 P4:669.775 STATE:IDLE
[2026-05-11 22:57:45Z] CHK MOM:0% RANGE:0.01% UP:16.66% SPREAD:0.00149316% BID:669.72 ASK:669.73 MID:669.725 P1:669.725 P2:669.695 P3:669.695 P4:669.775 STATE:IDLE
[2026-05-11 22:57:46Z] CHK MOM:0% RANGE:0.01% UP:16.66% SPREAD:0.00149316% BID:669.72 ASK:669.73 MID:669.725 P1:669.725 P2:669.725 P3:669.695 P4:669.695 STATE:IDLE
[2026-05-11 22:57:47Z] CHK MOM:0% RANGE:0.01% UP:16.66% SPREAD:0.00149316% BID:669.72 ASK:669.73 MID:669.725 P1:669.725 P2:669.725 P3:669.695 P4:669.695 STATE:IDLE
[2026-05-11 22:57:47Z] CHK MOM:0% RANGE:0.01% UP:14.28% SPREAD:0.00149316% BID:669.72 ASK:669.73 MID:669.725 P1:669.725 P2:669.725 P3:669.725 P4:669.695 STATE:IDLE
[2026-05-11 22:57:48Z] CHK MOM:0% RANGE:0.01% UP:25% SPREAD:0.00149311% BID:669.74 ASK:669.75 MID:669.745 P1:669.745 P2:669.725 P3:669.725 P4:669.725 STATE:IDLE
[2026-05-11 22:57:48Z] CHK MOM:0% RANGE:0.01% UP:22.22% SPREAD:0.00149311% BID:669.74 ASK:669.75 MID:669.745 P1:669.745 P2:669.745 P3:669.725 P4:669.725 STATE:IDLE
[2026-05-11 22:57:49Z] CHK MOM:0% RANGE:0.01% UP:22.22% SPREAD:0.00149311% BID:669.74 ASK:669.75 MID:669.745 P1:669.745 P2:669.745 P3:669.745 P4:669.725 STATE:IDLE
[2026-05-11 22:57:49Z] CHK MOM:0% RANGE:0.01% UP:20% SPREAD:0.00149311% BID:669.74 ASK:669.75 MID:669.745 P1:669.745 P2:669.745 P3:669.745 P4:669.745 STATE:IDLE
[2026-05-11 22:57:50Z] CHK MOM:0.02% RANGE:0.04% UP:27.27% SPREAD:0.0014926% BID:669.97 ASK:669.98 MID:669.975 P1:669.975 P2:669.745 P3:669.745 P4:669.745 STATE:IDLE
[2026-05-11 22:57:50Z] CHK MOM:0.02% RANGE:0.04% UP:25% SPREAD:0.0014926% BID:669.97 ASK:669.98 MID:669.975 P1:669.975 P2:669.975 P3:669.745 P4:669.745 STATE:IDLE
[2026-05-11 22:57:51Z] CHK MOM:0.02% RANGE:0.04% UP:23.07% SPREAD:0.00149262% BID:669.96 ASK:669.97 MID:669.965 P1:669.965 P2:669.975 P3:669.975 P4:669.745 STATE:IDLE
[2026-05-11 22:57:51Z] CHK MOM:0.02% RANGE:0.04% UP:23.07% SPREAD:0.00149262% BID:669.96 ASK:669.97 MID:669.965 P1:669.965 P2:669.965 P3:669.975 P4:669.975 STATE:IDLE
[2026-05-11 22:57:52Z] CHK MOM:0.02% RANGE:0.04% UP:23.07% SPREAD:0.00149262% BID:669.96 ASK:669.97 MID:669.965 P1:669.965 P2:669.965 P3:669.975 P4:669.975 STATE:IDLE
[2026-05-11 22:57:53Z] CHK MOM:0.03% RANGE:0.04% UP:23.07% SPREAD:0.00746368% BID:669.91 ASK:669.96 MID:669.935 P1:669.935 P2:669.965 P3:669.965 P4:669.975 STATE:IDLE
[2026-05-11 22:57:53Z] CHK MOM:0.03% RANGE:0.04% UP:30.76% SPREAD:0.00149267% BID:669.94 ASK:669.95 MID:669.945 P1:669.945 P2:669.935 P3:669.965 P4:669.965 STATE:IDLE
[2026-05-11 22:57:54Z] CHK MOM:0.03% RANGE:0.03% UP:23.07% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.945 P3:669.935 P4:669.965 STATE:IDLE
[2026-05-11 22:57:54Z] CHK MOM:0.03% RANGE:0.03% UP:21.42% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.945 P4:669.935 STATE:IDLE
[2026-05-11 22:57:55Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.945 STATE:IDLE
[2026-05-11 22:57:55Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.945 STATE:IDLE
[2026-05-11 22:57:56Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.945 STATE:IDLE
[2026-05-11 22:57:56Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.945 STATE:IDLE
[2026-05-11 22:57:57Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.945 STATE:IDLE
[2026-05-11 22:57:58Z] CHK MOM:0.03% RANGE:0.03% UP:20% SPREAD:0.00149269% BID:669.93 ASK:669.94 MID:669.935 P1:669.935 P2:669.935 P3:669.935 P4:669.935 STATE:IDLE
[2026-05-11 22:57:58Z] CHK MOM:0.02% RANGE:0.03% UP:20% SPREAD:0.00149276% BID:669.9 ASK:669.91 MID:669.905 P1:669.905 P2:669.935 P3:669.935 P4:669.935 STATE:IDLE
[2026-05-11 22:57:59Z] CHK MOM:0.01% RANGE:0.03% UP:18.75% SPREAD:0.00149289% BID:669.84 ASK:669.85 MID:669.845 P1:669.845 P2:669.905 P3:669.935 P4:669.935 STATE:IDLE
[2026-05-11 22:57:59Z] CHK MOM:0.01% RANGE:0.03% UP:17.64% SPREAD:0.00149289% BID:669.84 ASK:669.85 MID:669.845 P1:669.845 P2:669.845 P3:669.905 P4:669.935 STATE:IDLE
[2026-05-11 22:58:00Z] CHK MOM:0.01% RANGE:0.03% UP:12.5% SPREAD:0.00149289% BID:669.84 ASK:669.85 MID:669.845 P1:669.845 P2:669.845 P3:669.845 P4:669.905 STATE:IDLE
[2026-05-11 22:58:00Z] CHK MOM:0.06% RANGE:0.06% UP:18.75% SPREAD:0.03880423% BID:670.03 ASK:670.29 MID:670.16 P1:670.16 P2:669.845 P3:669.845 P4:669.845 STATE:IDLE
[2026-05-11 22:58:01Z] CHK MOM:0.05% RANGE:0.06% UP:17.64% SPREAD:0.00149231% BID:670.1 ASK:670.11 MID:670.105 P1:670.105 P2:670.16 P3:669.845 P4:669.845 STATE:IDLE
[2026-05-11 22:58:01Z] CHK MOM:0.05% RANGE:0.06% UP:17.64% SPREAD:0.00149231% BID:670.1 ASK:670.11 MID:670.105 P1:670.105 P2:670.105 P3:670.16 P4:669.845 STATE:IDLE
[2026-05-11 22:58:02Z] CHK MOM:0.05% RANGE:0.06% UP:17.64% SPREAD:0.00149231% BID:670.1 ASK:670.11 MID:670.105 P1:670.105 P2:670.105 P3:670.16 P4:669.845 STATE:IDLE
