ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-06-03 00:49:46Z,ALLOUSDC,BUY_FILLED,BUY,55.4,0.1745,BURST ret=0.3452% vel=0.1065%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.057339449541278086,0.28743891922966397,0.3451251078515901,40.0,64.06565819336566,1,,1,0.1744,0.1745,0.17445,0.1745,0.17445,0.17395,0.17395,0.17385,0.028661507595296357,
2026-06-03 00:52:04Z,ALLOUSDC,SELL_FILLED,SELL,55.3,0.17420000000000002,PSELL FAIL age=135.7s latest=0.17410000 guard=0.17418590 high=0.17470000 peak=0.1146% P1=0.17420000000000002 P2=0.1745 P3=0.1745 P4=0.1745 entry=0.1745,-0.035873,-0.035873,major,0,0.11487650775416758,-0.25765817348982434,0.28702640642939176,20.0,56.74049992672187,1,1,1,0.1741,0.1743,0.17420000000000002,0.1745,0.17420000000000002,0.1745,0.1745,0.1745,,-0.17191977077362003
1780453694,ALLOUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.0586854460093995,0.20576131687242163,0.20576131687242163,50.0,66.71370872598038,1,0,1,0.1704,0.1705,0.17045,,0.17045,0.17015000000000002,0.17015000000000002,0.17015000000000002,,
