ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
1778896702,INJUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.02055498458375017,0.07198683669271569,0.1440773901410016,28.57142857142857,60.78362345307094,1,0,1,4.865,4.866,4.8655,,4.8655,4.8635,4.858499999999999,4.8595,,
1778896781,INJUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.020546537908369304,0.12341869793272321,0.1337173421106575,60.0,54.863678929752695,1,0,1,4.867,4.868,4.8675,,4.8675,4.8635,4.861000000000001,4.8615,,
1778909985,INJUSDC,DECIDE_HOLD,,,,HOLD_BURST_EMA,,,major,0,0.020977554017189967,0.25233939648828635,0.25233939648828635,66.66666666666666,46.1016746346097,1,0,1,4.767,4.768,4.7675,,4.7675,4.7645,4.760999999999999,4.7595,,
