ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-05-16 02:44:22Z,ICPUSDC,BUY_FILLED,BUY,3.63,2.672,BURST ret=0.1500% vel=0.0711%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.03743916136279798,0.1687289088863956,0.1687289088863956,100.0,86.54282859919132,1,,1,2.671,2.672,2.6715,2.672,2.6715,2.6710000000000003,2.6675,2.667,0.018716077110243947,
2026-05-16 02:45:44Z,ICPUSDC,SELL_FILLED,SELL,3.63,2.6660000000000004,PSELL FAIL age=81.1s latest=2.66600000 guard=2.66719040 high=2.67400000 peak=0.0749% P1=2.667 P2=2.67 P3=2.67 P4=2.67 entry=2.672,-0.041157,-0.041157,major,0,0.07501875468868056,-0.11235955056180201,0.11248593925759706,0.0,86.96867396068288,1,1,1,2.666,2.668,2.667,2.672,2.667,2.67,2.67,2.67,,-0.18712574850300664
1778899584,ICPUSDC,DECIDE_HOLD,,,,HOLD_REENTRY,,,major,0,0.03746721618583326,0.05622188905547439,0.15003750937734447,11.11111111111111,,,,,2.669,2.67,2.6695,,2.6695,2.67,2.666,2.667,,
2026-05-16 03:04:53Z,ICPUSDC,BUY_FILLED,BUY,3.62,2.676,BURST ret=0.1498% vel=0.0769%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.037383177570105945,0.13098802395210632,0.13098802395210632,55.55555555555556,71.03999452939267,1,,1,2.675,2.676,2.6755,2.676,2.6755,2.6745,2.6719999999999997,2.6719999999999997,0.018688095683056138,
2026-05-16 03:05:52Z,ICPUSDC,SELL_FILLED,SELL,3.62,2.671,PSELL FAIL age=57.7s latest=2.67100000 guard=2.67118320 high=2.67600000 peak=0.0000% P1=2.6719999999999997 P2=2.6719999999999997 P3=2.6719999999999997 P4=2.6725000000000003 entry=2.676,-0.037456,-0.037456,major,0,0.07487832272557933,0.0,0.0,0.0,66.65004131582569,1,1,1,2.671,2.673,2.6719999999999997,2.676,2.6719999999999997,2.6719999999999997,2.6719999999999997,2.6725000000000003,,-0.14947683109119758
