ts_utc,symbol,event,side,qty,price,reason,pnl,profile,dry_run,spread_pct,mom_pct,mom_range_pct,up_ratio,rsi,ema1_ok,ema5_ok,vol_ok,bid,ask,mid,entry_price,p1,p2,p3,p4,entry_vs_mid_pct,mid_vs_entry_pct
2026-05-16 05:08:48Z,ORCAUSDC,BUY_FILLED,BUY,6.02,1.603,BURST ret=0.3129% vel=0.1655%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.06238303181535321,0.31279324366593014,0.31279324366593014,36.36363636363637,64.27075564797143,1,,1,1.603,1.604,1.6035,1.603,1.6035,1.5990000000000002,1.5990000000000002,1.5990000000000002,-0.031181789834733083,
2026-05-16 05:09:37Z,ORCAUSDC,SELL_FILLED,SELL,6.01,1.5899999999999999,STOP,-0.09732,-0.09732,major,0,0.06289308176099936,-0.4070131496556012,0.40867651681860734,7.142857142857142,50.83962196405559,1,1,1,1.59,1.591,1.5905,1.603,1.5905,1.5915,1.5915,1.5915,,-0.7797878976918251
2026-05-16 05:17:29Z,ORCAUSDC,BUY_FILLED,BUY,5.97,1.6,BURST ret=0.5028% vel=0.4934%/s eff=1.000 pressure=999.00 drop=0.0000%,,,major,0,0.06253908692933784,0.5658597925180695,0.5974842767295638,41.66666666666667,58.47628049922011,1,,1,1.599,1.6,1.5995,1.6,1.5995,1.5995,1.592,1.5925,0.031259768677722226,
2026-05-16 05:18:30Z,ORCAUSDC,SELL_FILLED,SELL,5.97,1.596,PSELL FAIL age=59.2s latest=1.59600000 guard=1.59712000 high=1.60200000 peak=0.1250% P1=1.597 P2=1.5990000000000002 P3=1.5995 P4=1.5995 entry=1.6,-0.04296,-0.04296,major,0,0.12531328320802015,-0.28098657508586766,0.2817783343769675,0.0,51.26238692207809,1,1,1,1.596,1.598,1.597,1.6,1.597,1.5990000000000002,1.5995,1.5995,,-0.1875000000000071
